asa_grav [m²/g],asa_vol [m²/cm³],av_vf,pore_volume [cm³/g],density [g/cm³],nexc [wt. %],uptake_grav [wt. %],uptake_vol [g H2/L],metal1
616.71,1093.9,0.56,0.32,1.77,2.03,2.46,44.68,Zn
1567.13,1149.99,0.83,1.13,0.73,3.28,5.68,44.16,Ga
900.88,1973.01,0.83,0.38,2.19,2.41,2.91,65.59,Fe
4800.71,2919.24,0.78,1.28,0.61,7.3,8.9,59.4,Mn
4800.8,2915.58,0.78,1.28,0.61,7.3,8.9,59.32,Mn
2154.67,1863.69,0.63,0.73,0.86,4.04,5.09,46.38,Mn
1113.97,1312.3,0.52,0.44,1.18,2.69,3.29,40.04,Fe
732.93,1209.33,0.53,0.32,1.65,2.19,2.59,43.86,V
707.65,1060.75,0.53,0.35,1.5,2.15,2.63,40.55,Cd
730.56,1157.95,0.5,0.32,1.59,2.18,2.59,42.08,V
1087.99,1669.63,0.58,0.38,1.53,2.66,3.13,49.57,Zn
780.78,1144.37,0.52,0.36,1.47,2.25,2.73,41.19,Cd
1288.03,1720.59,0.62,0.47,1.34,2.92,3.54,49.02,Zn
1645.79,2025.07,0.67,0.55,1.23,3.38,4.11,52.7,Zn
1688.66,2055.43,0.66,0.54,1.22,3.44,4.12,52.28,Zn
1358.17,1741.22,0.66,0.51,1.28,3.01,3.72,49.56,Zn
1379.02,1742.96,0.66,0.52,1.26,3.04,3.77,49.52,Zn
1312.64,1721.81,0.65,0.5,1.31,2.95,3.65,49.69,Zn
2985.55,2068.45,0.72,1.04,0.69,5.09,6.69,49.71,Zn
2074.12,1840.24,0.61,0.69,0.89,3.93,4.9,45.74,Sr
1778.08,1699.64,0.61,0.64,0.96,3.55,4.49,44.91,Cu
2677.74,1791.93,0.71,1.06,0.67,4.7,6.48,46.35,Cu
4246.95,2089.33,0.79,1.6,0.49,6.64,9.26,50.22,Co
2622.9,1872.2,0.67,0.94,0.71,4.63,6.1,46.36,Zn
2634.97,2177.69,0.62,0.75,0.83,4.65,5.58,48.86,Fe
1770.61,1600.62,0.6,0.66,0.9,3.54,4.54,42.97,Mn
1604.72,2046.38,0.68,0.53,1.28,3.33,4.01,53.28,Cd
1692.65,2101.82,0.69,0.56,1.24,3.44,4.18,54.16,Cd
4301.52,2569.07,0.72,1.21,0.6,6.7,8.29,54,Cu
3401.91,2227.03,0.75,1.15,0.65,5.6,7.36,51.99,Co
2312.29,2335.64,0.65,0.64,1.01,4.24,5.01,53.25,Zn
983.34,1189.89,0.55,0.45,1.21,2.52,3.19,39.9,Zn
2330.13,1683.33,0.69,0.96,0.72,4.26,5.89,45.22,Zn
1942.84,1805.81,0.63,0.68,0.93,3.77,4.75,46.39,Zn
1360.44,1657.43,0.57,0.47,1.22,3.01,3.61,45.6,Cd
1318.79,1542.33,0.6,0.51,1.17,2.96,3.68,44.74,Zn
998.7,1166.3,0.59,0.5,1.17,2.54,3.35,40.52,Zn
2130.44,2263.33,0.64,0.6,1.06,4.01,4.73,52.76,Zn
2225.28,1805.64,0.68,0.83,0.81,4.13,5.43,46.63,Zn
1751.06,1853.73,0.62,0.59,1.06,3.52,4.32,47.79,Zn
1543.34,1774.93,0.59,0.51,1.15,3.25,3.9,46.62,Zn
1516.67,1879.29,0.63,0.51,1.24,3.22,3.87,49.89,Zn
1478.37,2005.54,0.72,0.53,1.36,3.17,3.89,54.94,Zn
1395.62,1800.98,0.61,0.47,1.29,3.06,3.64,48.76,Zn
1403.16,1799.46,0.61,0.48,1.28,3.07,3.68,48.96,Zn
1398.4,1797.52,0.6,0.46,1.29,3.06,3.63,48.41,Zn
1285.39,1267.43,0.61,0.62,0.99,2.91,3.97,40.78,Zn
4878.38,2181.58,0.8,1.8,0.45,7.4,10.29,51.31,Co
5034.3,2323.48,0.8,1.74,0.46,7.58,10.27,52.82,Co
2379.46,2178.46,0.66,0.72,0.92,4.32,5.27,50.89,Mg
3016.05,2647.71,0.7,0.8,0.88,5.13,6.07,56.7,Cu
841.62,1268.41,0.55,0.36,1.51,2.33,2.79,43.29,Mg
1442.5,1554.64,0.61,0.57,1.08,3.12,3.97,44.61,Cd
1763.26,1875.59,0.64,0.6,1.06,3.54,4.36,48.49,Ni
1451.8,1839.76,0.6,0.47,1.27,3.13,3.71,48.83,Cd
715.38,1071.95,0.52,0.35,1.5,2.16,2.64,40.65,Mn
825.53,1196.69,0.56,0.39,1.45,2.31,2.87,42.76,Al
3052.86,2426.04,0.66,0.82,0.79,5.17,6.15,52.09,Co
